IPC_mean,IPC_std,cache_state,config,cycles_mean,cycles_std,dTLB-load-misses_mean,dTLB-load-misses_std,dTLB-store-misses_mean,dTLB-store-misses_std,faults_per_tx,iTLB-load-misses_mean,iTLB-load-misses_std,instructions_mean,instructions_std,lat_avg_ms_mean,lat_avg_ms_std,lat_max_ms_mean,lat_max_ms_std,lat_min_ms_mean,lat_min_ms_std,lat_p95_ms_mean,lat_p95_ms_std,major-faults_mean,major-faults_std,minor-faults_mean,minor-faults_std,page-faults_mean,page-faults_std,page_config,qps_mean,qps_std,total_events_mean,total_events_std,tps_mean,tps_std,workload
0.6933333333333334,0.17820088539498216,cold,range_2MB_cold,968057173.6666666,635782817.0978438,255354.0,172872.4332448641,26816.333333333332,15582.020843124154,0.005017821049722232,177977.66666666666,170509.27434860804,560869587.0,272652241.9019886,0.595,0.04499999999999999,26.62,14.059999999999999,0.22,0.010000000000000009,1.055,0.08499999999999996,0.0,0.0,2030.3333333333333,646.7273167434806,2030.3333333333333,646.7273167434806,2MB,20229.79,1464.49,404624.5,29288.5,6743.265,488.16499999999996,range
0.8066666666666666,0.016996731711975913,warm,range_2MB_warm,742363828.0,24993080.83487365,154202.66666666666,11046.933521218556,6933.333333333333,835.6858793164384,0.0004976170658957552,42086.0,4830.54289564503,597437113.3333334,5983637.159940395,0.53,0.008164965809277268,22.89333333333333,14.539292356308893,0.21,0.0,0.9333333333333332,0.00942809041582059,0.0,0.0,224.0,87.69644614616186,224.0,87.69644614616186,2MB,22505.099999999995,245.56997957133652,450145.3333333333,4915.593306565908,7501.7,81.85579555942704,range
0.7266666666666666,0.23456816114345574,cold,range_4KB_cold,1183975880.3333333,968324534.5462203,274108.3333333333,263548.45287642186,59124.333333333336,65301.51151049687,0.004405177709128245,281305.3333333333,350269.4045125203,639229576.3333334,278403364.5689285,0.5366666666666667,0.009428090415820642,14.593333333333334,1.2439006748486352,0.20666666666666667,0.004714045207910308,0.9499999999999998,0.014142135623730965,0.0,0.0,1965.0,817.6335772622517,1965.0,817.6335772622517,4KB,22301.25,297.31679300032886,446066.0,5949.047374720314,7433.753333333334,99.10559766677628,range
0.9033333333333333,0.004714045207910321,warm,range_4KB_warm,473197035.3333333,3451750.444287104,76042.33333333333,1025.8087324426301,3327.0,149.57495334001166,2.8768190348050845e-05,14166.0,426.26986757217543,427569330.3333333,5174605.37186662,0.53,0.008164965809277268,14.156666666666666,2.187636979838189,0.20666666666666667,0.004714045207910308,0.9266666666666666,0.00942809041582059,0.0,0.0,13.0,2.8284271247461903,13.0,2.8284271247461903,4KB,22592.066666666666,209.54993109572268,451888.0,4173.828538244793,7530.69,69.84843209884302,range
0.9,0.024494897427831803,cold,read_only_2MB_cold,471723730.0,16753293.997654332,78352.66666666667,509.89301710151796,10541.333333333334,589.7425050157248,0.012808871778108693,17427.0,197.09388625728602,425396097.3333333,3961914.6847838047,2.9033333333333338,0.0235702260395515,56.51,1.673339973426402,1.3999999999999997,0.021602468994692887,4.203333333333333,0.03299831645537235,0.0,0.0,1058.0,0.0,1058.0,0.0,2MB,22023.36333333333,185.499879664532,82599.0,694.8630560525338,1376.4633333333331,11.59489638686876,read_only
0.9233333333333333,0.03299831645537219,warm,read_only_2MB_warm,445665534.0,32228173.499178458,73463.33333333333,2587.8377503665533,3338.3333333333335,191.2072755473029,0.0001502729959426291,14332.666666666666,149.23880937015753,409438209.0,16629491.714084849,3.0066666666666664,0.12498888839501783,32.413333333333334,8.177792421484474,1.4166666666666667,0.016996731711975965,4.34,0.2847220867208352,0.0,0.0,12.0,1.632993161855452,12.0,1.632993161855452,2MB,21291.45666666667,860.0185632621866,79854.66666666667,3222.181490164009,1330.7166666666667,53.75038625184214,read_only
0.89,0.0748331477354788,cold,read_only_4KB_cold,195960746.66666666,9594701.961006826,40002.0,911.9005793762095,9673.0,595.785755676205,0.01012259194395797,16446.333333333332,304.72537727526986,172902220.66666666,6233902.605591585,2.2899999999999996,0.08164965809277268,22.416666666666668,0.5942128313061649,1.13,0.04320493798938567,3.3066666666666666,0.14704496666741865,0.0,0.0,1059.6666666666667,5.9066817155564495,1059.6666666666667,5.9066817155564495,4KB,27912.93333333333,1004.3005911357194,104683.33333333333,3766.53486495066,1744.5600000000002,62.768780456529505,read_only
1.1566666666666665,0.004714045207910321,warm,read_only_4KB_warm,159727895.0,688225.5764461727,38029.333333333336,323.4319437257585,1644.0,66.3525935187666,0.00011161796109232862,12260.0,136.82348726248233,185112894.33333334,1583221.7120888517,2.1133333333333333,0.012472191289246403,14.673333333333332,0.23976840677805913,1.163333333333333,0.016996731711975962,2.8433333333333333,0.0235702260395515,0.0,0.0,12.666666666666666,0.4714045207910317,12.666666666666666,0.4714045207910317,4KB,30259.373333333333,221.75418137107542,113482.33333333333,831.3528466033874,1891.21,13.857650113445143,read_only
0.48333333333333334,0.009428090415820642,cold,read_write_2MB_cold,2130370831.0,42291603.37323074,390610.3333333333,5324.739826716627,102264.0,2852.633987504648,0.0594379908621256,986493.0,3635.3860867863814,1032836928.3333334,12423629.676274195,4.3,0.06531972647421815,53.153333333333336,6.928782160107374,2.3000000000000003,0.05099019513592792,5.949999999999999,0.09899494936611664,0.0,0.0,3317.3333333333335,15.797327481430381,3317.3333333333335,15.797327481430381,2MB,18601.033333333333,286.6988362182317,55811.666666666664,861.7939944609088,930.0433333333334,14.343410411133826,read_write
0.47,0.014142135623730937,warm,read_write_2MB_warm,2081946053.6666667,148671729.08122948,422756.3333333333,56089.54499330116,61170.666666666664,25925.248572685963,0.013143058064672575,1029163.6666666666,45152.06063465493,982186999.3333334,48479577.95412564,4.373333333333334,0.2472964932132186,108.75,14.054828351851187,2.223333333333333,0.061282587702834075,6.153333333333333,0.5418691929074971,0.0,0.0,722.6666666666666,959.2185476846361,722.6666666666666,959.2185476846361,2MB,18325.773333333334,988.0008105372302,54984.666666666664,2965.4140051976256,916.2833333333333,49.408571680990285,read_write
