IPC_mean,IPC_std,cache_state,concurrency,config,cycles_mean,cycles_std,dTLB-load-misses_mean,dTLB-load-misses_std,dTLB-store-misses_mean,dTLB-store-misses_std,faults_per_request,file_size,iTLB-load-misses_mean,iTLB-load-misses_std,instructions_mean,instructions_std,latency_avg_us_mean,latency_avg_us_std,latency_max_us_mean,latency_max_us_std,latency_stdev_us_mean,latency_stdev_us_std,major-faults_mean,major-faults_std,minor-faults_mean,minor-faults_std,p50_us_mean,p50_us_std,p75_us_mean,p75_us_std,p90_us_mean,p90_us_std,p99_us_mean,p99_us_std,page-faults_mean,page-faults_std,page_config,req_per_sec_mean,req_per_sec_std,timeouts_mean,timeouts_std,total_requests_mean,total_requests_std,transfer_mb_per_sec_mean,transfer_mb_per_sec_std
0.6233333333333334,0.004714045207910321,cold,c10,large_c10_2MB_cold,68357363753.0,882139452.7243657,11741995.333333334,216444.6304028405,562376.3333333334,20844.05319403008,0.01702127659574468,large,12014658.333333334,590093.3323491199,42666774914.0,270031799.64575976,60036.666666666664,841.1235871671231,249456.66666666666,11317.73043601155,24696.666666666668,249.31015935086873,0.0,0.0,61.333333333333336,5.557777333511022,55063.333333333336,945.5979883415338,72050.0,900.7034288080991,90343.33333333333,1023.7621251486544,145840.0,2606.3895845914262,61.333333333333336,5.557777333511022,2MB,119.75666666666666,1.9282865162856104,0.0,0.0,3603.3333333333335,57.30813399703591,5986.986666666667,95.08446397224382
0.6166666666666667,0.004714045207910321,warm,c10,large_c10_2MB_warm,69279440545.66667,797662285.0087953,11682315.333333334,171657.05346481458,540088.0,12339.375132747471,0.002545968882602546,large,11445060.333333334,398954.2166484214,42531290350.333336,274064576.62464297,61243.333333333336,858.8881701879989,208613.33333333334,32879.79859359779,22433.333333333332,1010.4234535854537,0.0,0.0,9.0,6.377042156569663,57183.333333333336,1476.2414737734773,73680.0,828.6132994346639,90606.66666666667,1560.1780525169413,129976.66666666667,6311.493924227098,9.0,6.377042156569663,2MB,117.49666666666667,0.8255234029928467,0.0,0.0,3535.0,27.28858125052797,5881.173333333333,39.51218996152384
0.8466666666666667,0.033993463423951875,cold,c10,large_c10_4KB_cold,117366702654.33333,10257825528.995419,37142602.0,5704788.544453569,1709441.3333333333,275797.22785207414,0.009918572418572419,large,40997664.0,8111609.080110103,99661260805.66667,12488542548.779428,27246.666666666668,3340.0232866786355,318363.3333333333,28024.46827724341,14423.333333333334,784.8708315526972,0.0,0.0,76.33333333333333,11.55662388223981,27330.0,1471.4845111881627,31276.666666666668,4147.692799081865,36263.333333333336,7945.524246741404,77586.66666666667,10879.621112683823,76.33333333333333,11.55662388223981,4KB,255.96333333333334,28.84918523786917,0.0,0.0,7696.0,863.3334620334524,12800.0,1446.729968261758
0.8733333333333334,0.004714045207910321,warm,c10,large_c10_4KB_warm,123399694869.0,4130197975.578461,41816227.0,2713094.523866551,2055233.0,131441.33622520225,0.0001624893366372832,large,46704215.333333336,2551649.011052308,107473208632.66667,3820091817.2380238,32390.0,4381.940209541887,411630.0,67384.9914051094,37553.333333333336,14169.427966184412,0.0,0.0,1.3333333333333333,1.8856180831641267,23810.0,3449.086835671146,28933.333333333332,447.90872085975536,54933.333333333336,21672.68685593818,212850.0,70452.94789195599,1.3333333333333333,1.8856180831641267,4KB,272.74666666666667,8.595042498763794,0.0,0.0,8205.666666666666,262.0754768297781,13639.68,428.85921979129694
0.6233333333333334,0.012472191289246483,cold,c200,large_c200_2MB_cold,74069521542.66667,3227734750.1694794,12406418.0,957556.2894308964,911643.6666666666,80747.18547967408,0.13563032022699634,large,16217977.333333334,1274337.2956179571,46312139731.0,2281280537.8668003,931433.3333333334,51097.934944139924,2000000.0,0.0,457420.0,20008.120018299236,0.0,0.0,557.6666666666666,4.9216076867444665,886420.0,67676.92812177574,1260000.0,92736.18495495703,1603333.3333333333,61824.123303304696,1946666.6666666667,12472.191289246472,557.6666666666666,4.9216076867444665,2MB,135.24333333333334,6.523073576841587,444.6666666666667,58.902933335747846,4111.666666666667,190.47717856886572,6836.906666666667,315.10077174700086
0.6233333333333334,0.004714045207910321,warm,c200,large_c200_2MB_warm,76662572103.33333,1245977803.8370552,13678069.0,88371.42042915609,997319.0,5705.857399783723,0.037726913970007894,large,16849916.333333332,306058.22888935514,47718088166.666664,579219010.092348,864170.0,23638.047014647098,2000000.0,0.0,436583.3333333333,5912.841016710063,0.0,0.0,159.33333333333334,37.06151043273271,801966.6666666666,34778.378660055765,1166666.6666666667,41096.09335312651,1493333.3333333333,26246.692913372706,1933333.3333333333,9428.090415820634,159.33333333333334,37.06151043273271,2MB,139.5533333333333,1.8723306925386485,392.3333333333333,32.826141344293816,4223.333333333333,50.01555313655499,7051.946666666667,85.40157271515699
0.7366666666666667,0.0590668171555645,cold,c200,large_c200_4KB_cold,55841410634.0,31615529282.59438,10036553.666666666,5274975.190048091,750605.6666666666,403009.8612443897,0.16456068175139582,large,14080588.0,7288827.926166639,39111188344.0,21161785695.48312,761886.6666666666,83823.77162171176,1993333.3333333333,9428.090415820634,484213.3333333333,35931.564891548405,0.0,0.0,560.0,5.354126134736337,700226.6666666666,109553.48080072836,1120000.0,64807.4069840786,1450000.0,74833.14773547882,1906666.6666666667,30912.061651652348,560.0,5.354126134736337,4KB,179.59666666666666,20.162979828278257,249.66666666666666,171.43771139655618,3403.0,1913.594175019005,9349.12,1442.4473662032406
0.6866666666666666,0.026246692913372675,warm,c200,large_c200_4KB_warm,81375477754.33333,1610410155.857096,14395188.0,666322.6391756474,1081571.3333333333,50232.827794403755,0.012925170068027212,large,19358066.666666668,1223332.5447215443,55864217072.666664,3094979503.900284,811200.0,34745.57333915598,2000000.0,0.0,443523.3333333333,12022.546411730844,0.0,0.0,63.333333333333336,40.79487985301859,732143.3333333334,38733.900167969434,1103333.3333333333,44969.12521077347,1470000.0,57154.76066494082,1916666.6666666667,18856.180831641268,63.333333333333336,40.79487985301859,4KB,161.41666666666666,8.502302955997015,386.0,45.085104709500975,4900.0,261.2584926849269,8123.733333333333,407.0605725059712
0.44333333333333336,0.004714045207910321,cold,c10,small_c10_2MB_cold,231672451699.0,1324638569.1043603,21652230.333333332,1152126.2506705688,1313404.3333333333,53574.931366161254,4.076632251924627e-05,small,130867285.0,10224878.086490713,102908406219.33333,2244390316.0937304,156.74,2.6773992355766953,9520.0,677.6921621700126,257.28,2.73431283262662,0.0,0.0,77.33333333333333,5.2493385826745405,90.33333333333333,1.699673171197595,137.33333333333334,4.189935029992178,251.66666666666666,6.548960901462833,1360.0,21.602468994692867,77.33333333333333,5.2493385826745405,2MB,63211.35333333333,1466.766765243275,0.0,0.0,1896990.6666666667,44125.16382846515,432.05,10.024140860941657
0.4466666666666667,0.004714045207910321,warm,c10,small_c10_2MB_warm,247419562805.33334,3226952186.8589926,20995687.333333332,665497.4394022031,1369587.6666666667,49315.637292400024,0.0,small,152123131.0,4164586.6774625625,110037338419.33333,2614716441.5428767,142.99333333333334,6.197512045616019,12100.0,3175.5629422198517,242.23000000000002,20.196466687682435,0.0,0.0,0.0,0.0,86.66666666666667,0.9428090415820634,125.0,4.320493798938574,213.66666666666666,13.123346456686352,1230.0,82.86535263104035,0.0,0.0,2MB,67998.45,1872.9364887434558,0.0,0.0,2040340.0,55922.27942421517,464.77,12.80111713875003
